BinId	Markerlineage	genomes	markers	marker_sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
12C16O_0h_100_P08_coass_bin.23.fa	k__Bacteria (UID203)	5449	104	58	67	33	4	0	0	0	53.09	6.90	0.00
12C16O_0h_100_P08_coass_bin.24.fa	k__Bacteria (UID203)	5449	104	58	67	35	2	0	0	0	53.45	2.59	50.00
12C16O_0h_100_P08_coass_bin.25.fa	f__Bradyrhizobiaceae (UID3695)	47	693	296	240	379	68	6	0	0	64.26	8.95	40.70
12C16O_0h_100_P08_coass_bin.26.fa	k__Bacteria (UID203)	5449	104	58	66	38	0	0	0	0	51.18	0.00	0.00
12C16O_0h_100_P08_coass_bin.27.fa	k__Bacteria (UID203)	5449	104	58	70	31	3	0	0	0	50.86	5.17	0.00
12C16O_0h_100_P08_coass_bin.3.fa	k__Bacteria (UID1452)	924	161	108	18	135	8	0	0	0	88.17	5.56	12.50
12C16O_0h_100_P08_coass_bin.4.fa	k__Bacteria (UID2982)	88	230	148	104	115	11	0	0	0	53.03	4.62	27.27
12C16O_0h_100_P08_coass_bin.5.fa	o__Rhizobiales (UID3654)	92	481	319	48	405	27	1	0	0	94.59	6.91	30.00
12C16O_0h_100_P08_coass_bin.6.fa	k__Bacteria (UID1452)	924	158	106	4	152	2	0	0	0	96.23	1.89	50.00
12C16O_0h_100_P08_coass_bin.7.fa	o__Actinomycetales (UID1697)	387	330	193	158	168	4	0	0	0	58.04	1.30	25.00
12C16O_0h_100_P08_coass_bin.8.fa	o__Actinomycetales (UID1697)	387	330	193	6	323	1	0	0	0	97.75	0.52	0.00
12C16O_0h_100_P08_coass_bin.9.fa	o__Rhizobiales (UID3642)	107	485	316	65	403	17	0	0	0	88.80	3.92	11.76
12C16O_0h_100_P14_coass_bin.1.fa	o__Actinomycetales (UID1697)	387	330	193	36	273	21	0	0	0	95.18	6.55	14.29
12C16O_0h_100_P14_coass_bin.10.fa	o__Rhizobiales (UID3642)	107	485	316	205	274	6	0	0	0	62.61	1.58	0.00
12C16O_0h_100_P14_coass_bin.11.fa	k__Bacteria (UID1452)	924	160	109	39	114	7	0	0	0	87.49	6.42	14.29
12C16O_0h_100_P14_coass_bin.12.fa	f__Bradyrhizobiaceae (UID3695)	47	693	296	256	418	19	0	0	0	62.17	3.02	52.63
12C16O_0h_100_P14_coass_bin.13.fa	p__Actinobacteria (UID1454)	732	199	116	86	110	3	0	0	0	68.05	2.59	0.00
12C16O_0h_100_P14_coass_bin.14.fa	k__Bacteria (UID1452)	924	160	109	76	80	4	0	0	0	63.36	3.21	50.00
12C16O_0h_100_P14_coass_bin.15.fa	o__Rhizobiales (UID3654)	92	481	319	57	396	28	0	0	0	88.81	6.08	35.71
12C16O_0h_100_P14_coass_bin.16.fa	k__Bacteria (UID1452)	924	158	106	3	154	1	0	0	0	97.64	0.10	100.00
12C16O_0h_100_P14_coass_bin.17.fa	p__Actinobacteria (UID1454)	732	200	117	26	154	18	2	0	0	90.37	7.91	8.33
12C16O_0h_100_P14_coass_bin.18.fa	o__Actinomycetales (UID1697)	387	330	193	6	322	2	0	0	0	97.75	0.78	0.00
12C16O_0h_100_P14_coass_bin.19.fa	k__Bacteria (UID203)	5449	104	58	58	43	3	0	0	0	61.21	5.17	0.00
12C16O_0h_100_P14_coass_bin.2.fa	k__Bacteria (UID2495)	2993	147	91	73	72	2	0	0	0	50.08	1.65	0.00
12C16O_0h_100_P14_coass_bin.20.fa	k__Bacteria (UID203)	5449	104	58	62	42	0	0	0	0	55.17	0.00	0.00
12C16O_0h_100_P14_coass_bin.21.fa	o__Actinomycetales (UID1697)	387	330	193	126	178	23	2	1	0	61.41	8.43	37.14
12C16O_0h_100_P14_coass_bin.22.fa	k__Bacteria (UID3187)	2258	188	117	96	71	13	5	3	0	52.46	9.16	6.52
12C16O_0h_100_P14_coass_bin.23.fa	p__Proteobacteria (UID3880)	1495	261	164	105	145	9	2	0	0	67.92	4.25	26.67
12C16O_0h_100_P14_coass_bin.3.fa	k__Bacteria (UID203)	5449	104	58	69	30	5	0	0	0	51.36	5.52	60.00
12C16O_0h_100_P14_coass_bin.4.fa	k__Bacteria (UID203)	5449	104	58	63	36	4	1	0	0	58.97	6.38	42.86
12C16O_0h_100_P14_coass_bin.5.fa	k__Bacteria (UID203)	5449	104	58	68	35	0	0	1	0	50.00	5.17	16.67
12C16O_0h_100_P14_coass_bin.6.fa	k__Bacteria (UID1452)	924	161	108	18	130	13	0	0	0	90.59	7.79	30.77
12C16O_0h_100_P14_coass_bin.7.fa	k__Bacteria (UID1453)	901	171	117	34	135	2	0	0	0	87.34	1.71	0.00
12C16O_0h_100_P14_coass_bin.8.fa	p__Actinobacteria (UID1454)	732	199	116	56	137	6	0	0	0	81.22	4.02	0.00
12C16O_0h_100_P14_coass_bin.9.fa	f__Bradyrhizobiaceae (UID3695)	47	693	296	313	374	6	0	0	0	55.10	1.21	50.00
12C16O_0h_100_P16_coass_bin.1.fa	o__Rhizobiales (UID3654)	92	481	319	30	413	37	1	0	0	92.64	8.20	37.50
12C16O_0h_100_P16_coass_bin.10.fa	k__Archaea (UID2)	207	145	103	68	76	1	0	0	0	51.29	0.97	0.00
12C16O_0h_100_P16_coass_bin.11.fa	k__Bacteria (UID203)	5449	104	58	62	38	4	0	0	0	60.34	5.17	50.00
12C16O_0h_100_P16_coass_bin.12.fa	k__Archaea (UID2)	207	145	103	10	128	7	0	0	0	91.26	1.42	14.29
12C16O_0h_100_P16_coass_bin.13.fa	k__Bacteria (UID203)	5449	104	58	59	44	1	0	0	0	63.51	0.86	0.00
12C16O_0h_100_P16_coass_bin.14.fa	o__Actinomycetales (UID1697)	387	330	193	83	235	11	1	0	0	80.99	3.71	28.57
12C16O_0h_100_P16_coass_bin.15.fa	k__Bacteria (UID1453)	901	171	117	96	69	6	0	0	0	54.93	5.13	50.00
12C16O_0h_100_P16_coass_bin.16.fa	p__Actinobacteria (UID1454)	732	199	116	39	152	8	0	0	0	86.51	4.60	25.00
12C16O_0h_100_P16_coass_bin.17.fa	p__Proteobacteria (UID3880)	1495	261	164	119	135	7	0	0	0	56.69	3.46	42.86
12C16O_0h_100_P16_coass_bin.18.fa	p__Actinobacteria (UID1454)	732	199	116	86	108	5	0	0	0	64.60	3.02	0.00
12C16O_0h_100_P16_coass_bin.19.fa	k__Bacteria (UID203)	5449	102	57	56	43	3	0	0	0	66.84	5.26	0.00
12C16O_0h_100_P16_coass_bin.2.fa	k__Bacteria (UID1452)	924	161	108	49	105	7	0	0	0	76.71	3.35	28.57
12C16O_0h_100_P16_coass_bin.20.fa	c__Deltaproteobacteria (UID3216)	83	247	155	94	149	4	0	0	0	71.39	1.94	50.00
12C16O_0h_100_P16_coass_bin.21.fa	o__Actinomycetales (UID1697)	387	330	193	159	167	4	0	0	0	55.82	1.55	0.00
12C16O_0h_100_P16_coass_bin.22.fa	k__Bacteria (UID3187)	2258	187	116	70	112	4	0	1	0	68.32	4.42	0.00
12C16O_0h_100_P16_coass_bin.23.fa	k__Bacteria (UID203)	5449	104	58	61	43	0	0	0	0	57.21	0.00	0.00
12C16O_0h_100_P16_coass_bin.24.fa	k__Bacteria (UID1452)	924	158	106	1	157	0	0	0	0	99.06	0.00	0.00
12C16O_0h_100_P16_coass_bin.25.fa	k__Bacteria (UID203)	5449	104	58	70	30	4	0	0	0	52.59	6.03	25.00
12C16O_0h_100_P16_coass_bin.26.fa	k__Bacteria (UID203)	5449	104	58	45	52	7	0	0	0	81.03	6.21	85.71
12C16O_0h_100_P16_coass_bin.27.fa	o__Rhizobiales (UID3642)	107	485	316	185	277	23	0	0	0	62.62	5.68	13.04
12C16O_0h_100_P16_coass_bin.28.fa	g__Bradyrhizobium (UID3699)	37	824	336	355	374	79	16	0	0	54.83	9.17	11.81
12C16O_0h_100_P16_coass_bin.29.fa	k__Bacteria (UID203)	5449	104	58	69	34	1	0	0	0	51.72	1.72	0.00
12C16O_0h_100_P16_coass_bin.3.fa	k__Bacteria (UID3187)	2258	188	117	81	98	9	0	0	0	69.84	6.41	0.00
12C16O_0h_100_P16_coass_bin.30.fa	k__Bacteria (UID203)	5449	104	58	66	36	2	0	0	0	50.63	2.07	0.00
12C16O_0h_100_P16_coass_bin.31.fa	c__Alphaproteobacteria (UID3305)	564	348	229	148	189	11	0	0	0	55.72	3.86	0.00
12C16O_0h_100_P16_coass_bin.4.fa	p__Actinobacteria (UID1454)	732	196	114	54	125	14	3	0	0	69.72	9.02	26.09
12C16O_0h_100_P16_coass_bin.5.fa	k__Bacteria (UID203)	5449	104	58	68	36	0	0	0	0	50.34	0.00	0.00
12C16O_0h_100_P16_coass_bin.6.fa	o__Actinomycetales (UID1697)	387	330	193	6	321	3	0	0	0	97.75	0.60	0.00
12C16O_0h_100_P16_coass_bin.7.fa	k__Bacteria (UID203)	5449	104	58	61	43	0	0	0	0	58.79	0.00	0.00
12C16O_0h_100_P16_coass_bin.8.fa	p__Actinobacteria (UID1454)	732	200	117	62	120	18	0	0	0	78.57	8.83	22.22
12C16O_0h_100_P16_coass_bin.9.fa	k__Bacteria (UID1453)	901	171	117	8	159	4	0	0	0	94.68	2.99	25.00
12C16O_0h_100_unf_bin.1.fa	o__Actinomycetales (UID1696)	455	315	190	155	159	1	0	0	0	52.18	0.53	0.00
12C16O_0h_100_unf_bin.10.fa	f__Bradyrhizobiaceae (UID3695)	47	693	296	322	364	7	0	0	0	55.73	1.45	28.57
12C16O_0h_100_unf_bin.11.fa	k__Bacteria (UID1453)	901	171	117	30	134	7	0	0	0	90.60	2.75	0.00
12C16O_0h_100_unf_bin.12.fa	o__Rhizobiales (UID3642)	107	485	316	88	363	31	3	0	0	88.26	8.11	7.50
12C16O_0h_100_unf_bin.13.fa	c__Deltaproteobacteria (UID3216)	83	247	155	54	181	12	0	0	0	76.34	3.64	33.33
12C16O_0h_100_unf_bin.14.fa	k__Bacteria (UID1452)	924	158	106	0	158	0	0	0	0	100.00	0.00	0.00
12C16O_0h_100_unf_bin.15.fa	k__Bacteria (UID1452)	924	161	108	70	78	13	0	0	0	52.87	9.34	15.38
12C16O_0h_100_unf_bin.16.fa	k__Bacteria (UID203)	5449	102	57	50	49	3	0	0	0	72.26	5.26	33.33
12C16O_0h_100_unf_bin.17.fa	p__Actinobacteria (UID1454)	732	200	117	40	145	15	0	0	0	83.85	7.55	20.00
12C16O_0h_100_unf_bin.18.fa	k__Bacteria (UID203)	5449	104	58	52	51	1	0	0	0	70.69	1.72	0.00
12C16O_0h_100_unf_bin.19.fa	k__Bacteria (UID203)	5449	104	58	61	42	1	0	0	0	55.17	1.72	0.00
12C16O_0h_100_unf_bin.2.fa	p__Actinobacteria (UID1454)	732	196	114	79	107	10	0	0	0	61.95	6.14	30.00
12C16O_0h_100_unf_bin.20.fa	o__Rhizobiales (UID3654)	92	481	319	241	239	1	0	0	0	50.52	0.08	0.00
12C16O_0h_100_unf_bin.21.fa	o__Rhizobiales (UID3654)	92	480	318	162	307	11	0	0	0	70.45	1.81	36.36
12C16O_0h_100_unf_bin.22.fa	k__Bacteria (UID2495)	2993	147	91	53	89	5	0	0	0	73.11	2.88	20.00
12C16O_0h_100_unf_bin.23.fa	k__Bacteria (UID203)	5449	104	58	37	51	16	0	0	0	71.79	8.15	50.00
12C16O_0h_100_unf_bin.24.fa	p__Actinobacteria (UID1454)	732	199	116	87	103	9	0	0	0	64.63	3.45	55.56
12C16O_0h_100_unf_bin.25.fa	o__Actinomycetales (UID1663)	488	309	185	105	192	12	0	0	0	63.31	3.33	16.67
12C16O_0h_100_unf_bin.26.fa	k__Bacteria (UID1452)	924	160	109	56	92	12	0	0	0	62.95	4.10	25.00
12C16O_0h_100_unf_bin.27.fa	o__Actinomycetales (UID1697)	387	330	193	71	230	20	8	0	1	78.47	9.31	20.37
12C16O_0h_100_unf_bin.28.fa	k__Bacteria (UID2495)	2993	147	91	60	85	2	0	0	0	65.76	1.16	100.00
12C16O_0h_100_unf_bin.29.fa	p__Proteobacteria (UID3880)	1495	261	164	8	242	11	0	0	0	96.71	3.52	27.27
12C16O_0h_100_unf_bin.3.fa	k__Bacteria (UID203)	5449	104	58	60	40	4	0	0	0	65.86	6.03	50.00
12C16O_0h_100_unf_bin.30.fa	k__Bacteria (UID203)	5449	104	58	63	41	0	0	0	0	55.69	0.00	0.00
12C16O_0h_100_unf_bin.31.fa	o__Rhizobiales (UID3642)	107	485	316	250	197	37	1	0	0	51.07	9.44	15.00
12C16O_0h_100_unf_bin.32.fa	p__Actinobacteria (UID1454)	732	199	116	49	137	13	0	0	0	82.08	9.27	15.38
12C16O_0h_100_unf_bin.33.fa	k__Bacteria (UID3187)	2258	188	117	79	102	6	1	0	0	65.51	5.18	11.11
12C16O_0h_100_unf_bin.34.fa	p__Actinobacteria (UID1454)	732	196	114	48	127	19	2	0	0	73.74	8.33	68.00
12C16O_0h_100_unf_bin.35.fa	k__Archaea (UID2)	207	145	103	74	68	3	0	0	0	52.21	2.91	66.67
12C16O_0h_100_unf_bin.36.fa	k__Bacteria (UID1453)	901	171	117	61	105	5	0	0	0	71.17	2.74	0.00
12C16O_0h_100_unf_bin.37.fa	k__Bacteria (UID203)	5449	104	58	34	51	13	6	0	0	68.42	9.33	35.48
12C16O_0h_100_unf_bin.38.fa	k__Bacteria (UID203)	5449	104	58	61	39	3	1	0	0	57.38	7.76	16.67
12C16O_0h_100_unf_bin.39.fa	p__Actinobacteria (UID1454)	732	199	116	94	86	17	0	2	0	50.04	9.10	10.34
12C16O_0h_100_unf_bin.4.fa	o__Actinomycetales (UID1697)	387	330	193	8	318	3	1	0	0	96.98	1.81	0.00
12C16O_0h_100_unf_bin.40.fa	k__Bacteria (UID3187)	2258	187	116	77	98	11	1	0	0	55.95	7.15	14.29
12C16O_0h_100_unf_bin.41.fa	p__Actinobacteria (UID1454)	732	199	116	43	147	9	0	0	0	74.74	4.12	22.22
12C16O_0h_100_unf_bin.5.fa	o__Rhizobiales (UID3654)	92	481	319	187	283	11	0	0	0	58.11	1.43	36.36
12C16O_0h_100_unf_bin.6.fa	k__Bacteria (UID1452)	924	161	108	29	126	4	2	0	0	82.72	5.56	20.00
12C16O_0h_100_unf_bin.7.fa	k__Archaea (UID2)	207	145	103	27	114	4	0	0	0	75.73	2.99	25.00
12C16O_0h_100_unf_bin.8.fa	p__Actinobacteria (UID1454)	732	199	116	30	166	3	0	0	0	90.47	2.59	0.00
12C16O_0h_100_unf_bin.9.fa	k__Bacteria (UID1452)	924	160	109	55	102	3	0	0	0	69.99	2.75	33.33
12C16O_0h_50_P09_coass_bin.1.fa	p__Proteobacteria (UID3880)	1495	261	164	24	236	1	0	0	0	96.34	0.61	0.00
12C16O_0h_50_P09_coass_bin.10.fa	k__Bacteria (UID203)	5449	104	58	62	35	7	0	0	0	55.50	8.62	28.57
12C16O_0h_50_P09_coass_bin.11.fa	o__Rhizobiales (UID3642)	107	485	316	58	408	19	0	0	0	89.37	4.35	10.53
12C16O_0h_50_P09_coass_bin.12.fa	k__Bacteria (UID1452)	924	161	108	42	108	11	0	0	0	85.44	5.50	0.00
12C16O_0h_50_P09_coass_bin.13.fa	o__Actinomycetales (UID1697)	387	330	193	93	204	26	7	0	0	76.49	9.01	29.79
12C16O_0h_50_P09_coass_bin.14.fa	k__Bacteria (UID1452)	924	161	108	45	110	6	0	0	0	74.07	4.63	16.67
12C16O_0h_50_P09_coass_bin.15.fa	k__Bacteria (UID3187)	2258	188	117	78	101	9	0	0	0	68.12	7.12	0.00
12C16O_0h_50_P09_coass_bin.16.fa	k__Bacteria (UID1452)	924	158	106	1	155	2	0	0	0	99.06	0.94	0.00
12C16O_0h_50_P09_coass_bin.17.fa	k__Bacteria (UID1453)	901	171	117	38	131	2	0	0	0	86.04	1.71	0.00
12C16O_0h_50_P09_coass_bin.18.fa	o__Rhizobiales (UID3642)	107	485	316	168	298	19	0	0	0	65.34	3.90	15.79
12C16O_0h_50_P09_coass_bin.19.fa	o__Actinomycetales (UID1697)	387	330	193	15	312	3	0	0	0	94.65	1.04	33.33
12C16O_0h_50_P09_coass_bin.2.fa	k__Bacteria (UID2982)	88	230	148	87	140	3	0	0	0	56.92	1.39	33.33
12C16O_0h_50_P09_coass_bin.20.fa	k__Bacteria (UID1452)	924	151	101	62	89	0	0	0	0	57.88	0.00	0.00
12C16O_0h_50_P09_coass_bin.21.fa	k__Bacteria (UID203)	5449	104	58	47	37	18	2	0	0	50.86	9.72	50.00
12C16O_0h_50_P09_coass_bin.22.fa	k__Bacteria (UID203)	5449	104	58	60	40	4	0	0	0	65.52	6.90	25.00
12C16O_0h_50_P09_coass_bin.23.fa	k__Bacteria (UID203)	5449	104	58	59	41	2	2	0	0	60.86	7.76	0.00
12C16O_0h_50_P09_coass_bin.24.fa	p__Actinobacteria (UID1454)	732	199	116	98	96	4	1	0	0	59.53	3.02	28.57
12C16O_0h_50_P09_coass_bin.25.fa	k__Bacteria (UID203)	5449	104	58	63	40	1	0	0	0	51.99	1.72	0.00
12C16O_0h_50_P09_coass_bin.26.fa	p__Actinobacteria (UID1454)	732	199	116	71	118	10	0	0	0	61.47	5.30	30.00
12C16O_0h_50_P09_coass_bin.27.fa	k__Bacteria (UID3187)	2258	188	117	107	73	7	1	0	0	52.44	5.89	10.00
12C16O_0h_50_P09_coass_bin.28.fa	k__Bacteria (UID203)	5449	104	58	66	34	4	0	0	0	53.43	5.17	50.00
12C16O_0h_50_P09_coass_bin.29.fa	k__Bacteria (UID2495)	2993	147	91	38	102	7	0	0	0	83.24	5.59	57.14
12C16O_0h_50_P09_coass_bin.3.fa	k__Bacteria (UID203)	5449	104	58	61	39	4	0	0	0	56.21	6.03	25.00
12C16O_0h_50_P09_coass_bin.30.fa	o__Rhizobiales (UID3654)	92	481	319	188	290	3	0	0	0	56.10	0.32	33.33
12C16O_0h_50_P09_coass_bin.31.fa	k__Bacteria (UID1453)	901	171	117	90	75	6	0	0	0	55.50	3.42	33.33
12C16O_0h_50_P09_coass_bin.32.fa	c__Deltaproteobacteria (UID3216)	83	247	155	78	166	3	0	0	0	72.52	1.51	33.33
12C16O_0h_50_P09_coass_bin.33.fa	k__Bacteria (UID203)	5449	102	57	52	50	0	0	0	0	69.63	0.00	0.00
12C16O_0h_50_P09_coass_bin.34.fa	p__Actinobacteria (UID1454)	732	196	114	84	100	11	1	0	0	58.42	7.40	50.00
12C16O_0h_50_P09_coass_bin.35.fa	k__Bacteria (UID203)	5449	104	58	65	38	1	0	0	0	59.48	1.72	0.00
12C16O_0h_50_P09_coass_bin.36.fa	k__Bacteria (UID203)	5449	104	58	42	45	15	2	0	0	51.18	8.09	42.86
12C16O_0h_50_P09_coass_bin.37.fa	k__Bacteria (UID203)	5449	104	58	68	35	1	0	0	0	53.45	0.86	0.00
12C16O_0h_50_P09_coass_bin.38.fa	k__Bacteria (UID1452)	924	151	101	67	78	6	0	0	0	52.90	1.09	16.67
12C16O_0h_50_P09_coass_bin.39.fa	k__Bacteria (UID1452)	924	160	109	19	135	6	0	0	0	93.28	5.50	0.00
12C16O_0h_50_P09_coass_bin.4.fa	k__Archaea (UID2)	207	145	103	8	135	2	0	0	0	93.69	1.94	50.00
12C16O_0h_50_P09_coass_bin.5.fa	k__Bacteria (UID1452)	924	160	109	49	97	14	0	0	0	77.88	8.26	28.57
12C16O_0h_50_P09_coass_bin.6.fa	k__Archaea (UID2)	207	145	103	4	139	2	0	0	0	96.84	1.94	0.00
12C16O_0h_50_P09_coass_bin.7.fa	k__Bacteria (UID203)	5449	104	58	63	37	4	0	0	0	59.64	5.17	0.00
12C16O_0h_50_P09_coass_bin.8.fa	p__Actinobacteria (UID1454)	732	199	116	90	106	3	0	0	0	65.60	2.16	33.33
12C16O_0h_50_P09_coass_bin.9.fa	p__Actinobacteria (UID1454)	732	199	116	75	117	7	0	0	0	74.86	5.60	14.29
12C16O_0h_50_P10_coass_bin.1.fa	k__Bacteria (UID1453)	901	171	117	31	133	6	1	0	0	90.43	5.13	22.22
12C16O_0h_50_P10_coass_bin.11.fa	o__Actinomycetales (UID1697)	387	330	193	150	170	8	2	0	0	62.44	4.58	7.14
12C16O_0h_50_P10_coass_bin.12.fa	o__Actinomycetales (UID1696)	455	315	190	128	182	5	0	0	0	61.61	1.58	40.00
12C16O_0h_50_P10_coass_bin.13.fa	k__Bacteria (UID2495)	2993	147	91	22	119	6	0	0	0	81.06	0.94	50.00
12C16O_0h_50_P10_coass_bin.14.fa	k__Archaea (UID2)	207	145	103	14	128	2	1	0	0	90.45	3.88	20.00
12C16O_0h_50_P10_coass_bin.15.fa	k__Bacteria (UID1452)	924	158	106	0	158	0	0	0	0	100.00	0.00	0.00
12C16O_0h_50_P10_coass_bin.16.fa	k__Bacteria (UID203)	5449	104	58	65	38	1	0	0	0	56.03	1.72	0.00
12C16O_0h_50_P10_coass_bin.17.fa	k__Bacteria (UID203)	5449	104	58	62	42	0	0	0	0	60.34	0.00	0.00
12C16O_0h_50_P10_coass_bin.18.fa	p__Actinobacteria (UID1454)	732	199	116	18	171	9	1	0	0	94.14	6.05	0.00
12C16O_0h_50_P10_coass_bin.19.fa	g__Burkholderia (UID4006)	64	769	248	110	647	12	0	0	0	84.80	2.04	0.00
12C16O_0h_50_P10_coass_bin.2.fa	k__Bacteria (UID203)	5449	104	58	63	40	1	0	0	0	61.21	1.72	0.00
12C16O_0h_50_P10_coass_bin.20.fa	p__Proteobacteria (UID3880)	1495	261	164	45	204	12	0	0	0	87.29	5.79	75.00
12C16O_0h_50_P10_coass_bin.21.fa	k__Bacteria (UID203)	5449	104	58	23	68	13	0	0	0	66.38	3.61	61.54
12C16O_0h_50_P10_coass_bin.22.fa	k__Archaea (UID2)	207	145	103	64	80	1	0	0	0	59.79	0.97	0.00
12C16O_0h_50_P10_coass_bin.23.fa	o__Rhizobiales (UID3654)	92	481	319	171	302	8	0	0	0	59.87	2.04	50.00
12C16O_0h_50_P10_coass_bin.24.fa	o__Actinomycetales (UID1697)	387	330	193	24	304	2	0	0	0	92.23	1.04	0.00
12C16O_0h_50_P10_coass_bin.25.fa	k__Bacteria (UID1452)	924	163	110	83	70	9	1	0	0	56.58	8.79	8.33
12C16O_0h_50_P10_coass_bin.26.fa	p__Proteobacteria (UID3880)	1495	261	164	128	129	4	0	0	0	55.02	2.13	0.00
12C16O_0h_50_P10_coass_bin.27.fa	k__Bacteria (UID1452)	924	161	108	34	118	6	1	2	0	77.09	5.03	28.57
12C16O_0h_50_P10_coass_bin.28.fa	k__Bacteria (UID1452)	924	160	109	50	98	12	0	0	0	76.08	6.81	33.33
12C16O_0h_50_P10_coass_bin.29.fa	o__Rhizobiales (UID3654)	92	480	318	72	394	14	0	0	0	88.78	3.21	28.57
12C16O_0h_50_P10_coass_bin.3.fa	k__Bacteria (UID203)	5449	104	58	63	37	4	0	0	0	58.43	6.03	0.00
12C16O_0h_50_P10_coass_bin.30.fa	p__Actinobacteria (UID1454)	732	200	117	95	92	11	2	0	0	54.17	8.69	5.88
12C16O_0h_50_P10_coass_bin.32.fa	o__Rhizobiales (UID3642)	107	485	316	250	224	11	0	0	0	50.43	2.14	0.00
12C16O_0h_50_P10_coass_bin.33.fa	k__Bacteria (UID203)	5449	104	58	66	34	4	0	0	0	51.03	6.03	0.00
12C16O_0h_50_P10_coass_bin.34.fa	k__Bacteria (UID1453)	901	171	117	73	84	14	0	0	0	60.34	8.83	0.00
12C16O_0h_50_P10_coass_bin.4.fa	o__Actinomycetales (UID1697)	387	330	193	112	211	7	0	0	0	69.86	2.76	28.57
12C16O_0h_50_P10_coass_bin.5.fa	p__Actinobacteria (UID1454)	732	199	116	102	96	1	0	0	0	58.53	0.86	100.00
12C16O_0h_50_P10_coass_bin.6.fa	k__Bacteria (UID2495)	2993	147	91	22	124	1	0	0	0	86.58	0.10	100.00
12C16O_0h_50_P10_coass_bin.7.fa	k__Bacteria (UID203)	5449	104	58	59	45	0	0	0	0	66.38	0.00	0.00
12C16O_0h_50_P10_coass_bin.8.fa	k__Bacteria (UID203)	5449	104	58	66	36	2	0	0	0	56.03	3.45	100.00
12C16O_0h_50_P10_coass_bin.9.fa	f__Bradyrhizobiaceae (UID3695)	47	693	296	116	554	23	0	0	0	87.48	3.69	60.87
12C16O_0h_50_P13_coass_bin.10.fa	k__Bacteria (UID1453)	901	171	117	43	115	13	0	0	0	84.33	7.26	53.85
12C16O_0h_50_P13_coass_bin.11.fa	k__Bacteria (UID1452)	924	160	109	17	133	10	0	0	0	91.49	5.94	10.00
12C16O_0h_50_P13_coass_bin.12.fa	p__Proteobacteria (UID3214)	2231	190	119	58	119	13	0	0	0	81.89	8.36	30.77
12C16O_0h_50_P13_coass_bin.13.fa	c__Betaproteobacteria (UID3959)	235	419	211	136	244	38	1	0	0	63.73	6.69	4.88
12C16O_0h_50_P13_coass_bin.15.fa	o__Actinomycetales (UID1663)	488	310	185	113	195	2	0	0	0	66.76	0.72	50.00
12C16O_0h_50_P13_coass_bin.16.fa	k__Bacteria (UID1453)	901	171	117	71	96	4	0	0	0	65.51	2.56	0.00
12C16O_0h_50_P13_coass_bin.17.fa	k__Bacteria (UID203)	5449	104	58	58	44	2	0	0	0	62.07	3.45	0.00
12C16O_0h_50_P13_coass_bin.18.fa	o__Actinomycetales (UID1697)	387	330	193	5	323	2	0	0	0	98.27	1.04	0.00
12C16O_0h_50_P13_coass_bin.19.fa	k__Bacteria (UID203)	5449	104	58	63	41	0	0	0	0	58.62	0.00	0.00
